country,year,pop,continent,lifeExp,gdpPercap,bornPerwom
Afghanistan,1952,8425333,Asia,28801,779.4453145,7.55
Afghanistan,1957,9240934,Asia,30332,820.8530296,7.49
Afghanistan,1962,10267083,Asia,31997,853.10071,7.45
Afghanistan,1967,11537966,Asia,34.02,836.1971382,7.45
Afghanistan,1972,13079460,Asia,36088,739.9811058,7.45
Afghanistan,1977,14880372,Asia,38438,786.11336,7.45
Afghanistan,1982,12881816,Asia,39854,978.0114388,7.45
Afghanistan,1987,13867957,Asia,40822,852.3959448,7.46
Afghanistan,1992,16317921,Asia,41674,649.3413952,7.5
Afghanistan,1997,22227415,Asia,41763,635.341351,7.64
Afghanistan,2002,25268405,Asia,42129,726.7340548,7.27
Afghanistan,2007,31889923,Asia,43828,974.5803384,6.46
Albania,1952,1282697,Europe,55.23,1601.056136,6.13
Albania,1957,1476505,Europe,59.28,1942.284244,6.53
Albania,1962,1728137,Europe,64.82,2312.888958,6.28
Albania,1967,1984060,Europe,66.22,2760.196931,5.39
Albania,1972,2263554,Europe,67.69,3313.422188,4.64
Albania,1977,2509048,Europe,68.93,3533.00391,3.97
Albania,1982,2780097,Europe,70.42,3630.880722,3.45
Albania,1987,3075321,Europe,72,3738.932735,3.16
Albania,1992,3326498,Europe,71581,2497.437901,2.83
Albania,1997,3428038,Europe,72.95,3193.054604,2.42
Albania,2002,3508512,Europe,75651,4604.211737,1.98
Albania,2007,3600523,Europe,76423,5937.029526,1.67
Algeria,1952,9279525,Africa,43077,2449.008185,7.44
Algeria,1957,10270856,Africa,45685,3013.976023,7.43
Algeria,1962,11000948,Africa,48303,2550.81688,7.61
Algeria,1967,12760499,Africa,51407,3246.991771,7.67
Algeria,1972,14760787,Africa,54518,4182.663766,7.6
Algeria,1977,17152804,Africa,58014,4910.416756,7.23
Algeria,1982,20033753,Africa,61368,5745.160213,6.43
Algeria,1987,23254956,Africa,65799,5681.358539,5.41
Algeria,1992,26298373,Africa,67744,5023.216647,4.22
Algeria,1997,29072015,Africa,69152,4797.295051,2.99
Algeria,2002,31287142,Africa,70994,5288.040382,2.4
Algeria,2007,33333216,Africa,72301,6223.367465,2.66
Angola,1952,4232095,Africa,30015,3520.610273,7.15
Angola,1957,4561361,Africa,31999,3827.940465,7.31
Angola,1962,4826015,Africa,34,4269.276742,7.56
Angola,1967,5247469,Africa,35985,5522.776375,7.61
Angola,1972,5894858,Africa,37928,5473.288005,7.61
Angola,1977,6162675,Africa,39483,3008.647355,7.59
Angola,1982,7016384,Africa,39942,2756.953672,7.44
Angola,1987,7874230,Africa,39906,2430.208311,7.35
Angola,1992,8735988,Africa,40647,2627.845685,7.13
Angola,1997,9875024,Africa,40963,2277.140884,6.79
Angola,2002,10866106,Africa,41003,2773.287312,6.57
Angola,2007,12420476,Africa,42731,4797.231267,6.37
Argentina,1952,17876956,Americas,62485,5911.315053,3.16
Argentina,1957,19610538,Americas,64399,6856.856212,3.13
Argentina,1962,21283783,Americas,65142,7133.166023,3.09
Argentina,1967,22934225,Americas,65634,8052.953021,3.05
Argentina,1972,24779799,Americas,67065,9443.038526,3.15
Argentina,1977,26983828,Americas,68481,10079.02674,3.39
Argentina,1982,29341374,Americas,69942,8997.897412,3.21
Argentina,1987,31620918,Americas,70774,9139.671389,3.06
Argentina,1992,33958947,Americas,71868,9308.41871,2.91
Argentina,1997,36203463,Americas,73275,10967.28195,2.66
Argentina,2002,38331121,Americas,74.34,8797.640716,2.52
Argentina,2007,40301927,Americas,75.32,12779.37964,2.41
Australia,1952,8691212,Oceania,69.12,10039.59564,3.18
Australia,1957,9712569,Oceania,70.33,10949.64959,3.42
Australia,1962,10794968,Oceania,70.93,12217.22686,3.41
Australia,1967,11872264,Oceania,71.1,14526.12465,2.87
Australia,1972,13177000,Oceania,71.93,16788.62948,2.68
Australia,1977,14074100,Oceania,73.49,18334.19751,2.03
Australia,1982,15184200,Oceania,74.74,19477.00928,1.91
Australia,1987,16257249,Oceania,76.32,21888.88903,1.86
Australia,1992,17481977,Oceania,77.56,23424.76683,1.87
Australia,1997,18565243,Oceania,78.83,26997.93657,1.79
Australia,2002,19546792,Oceania,80.37,30687.75473,1.78
Australia,2007,20434176,Oceania,81235,34435.36744,1.92
Austria,1952,6927772,Europe,66.8,6137.076492,2.06
Austria,1957,6965860,Europe,67.48,8842.59803,2.57
Austria,1962,7129864,Europe,69.54,10750.72111,2.8
Austria,1967,7376998,Europe,70.14,12834.6024,2.62
Austria,1972,7544201,Europe,70.63,16661.6256,2.09
Austria,1977,7568430,Europe,72.17,19749.4223,1.63
Austria,1982,7574613,Europe,73.18,21597.08362,1.66
Austria,1987,7578903,Europe,74.94,23687.82607,1.43
Austria,1992,7914969,Europe,76.04,27042.01868,1.51
Austria,1997,8069876,Europe,77.51,29095.92066,1.39
Austria,2002,8148312,Europe,78.98,32417.60769,1.39
Austria,2007,8199783,Europe,79829,36126.4927,1.38
Bahrain,1952,120447,Asia,50939,9867.084765,6.97
Bahrain,1957,138655,Asia,53832,11635.79945,6.97
Bahrain,1962,171863,Asia,56923,12753.27514,7.17
Bahrain,1967,202182,Asia,59923,14804.6727,7
Bahrain,1972,230800,Asia,63.3,18268.65839,6.09
Bahrain,1977,297410,Asia,65593,19340.10196,5.28
Bahrain,1982,377967,Asia,69052,19211.14731,4.69
Bahrain,1987,454612,Asia,70.75,18524.02406,4.13
Bahrain,1992,529491,Asia,72601,19035.57917,3.47
Bahrain,1997,598561,Asia,73925,20292.01679,2.93
Bahrain,2002,656397,Asia,74795,23403.55927,2.67
Bahrain,2007,708573,Asia,75635,29796.04834,2.29
Bangladesh,1952,46886859,Asia,37484,684.2441716,6.33
Bangladesh,1957,51365468,Asia,39348,661.6374577,6.6
Bangladesh,1962,56839289,Asia,41216,686.3415538,6.79
Bangladesh,1967,62821884,Asia,43453,721.1860862,6.92
Bangladesh,1972,70759295,Asia,45252,630.2336265,6.93
Bangladesh,1977,80428306,Asia,46923,659.8772322,6.68
Bangladesh,1982,93074406,Asia,50009,676.9818656,6.06
Bangladesh,1987,103764241,Asia,52819,751.9794035,5.13
Bangladesh,1992,113704579,Asia,56018,837.8101643,4.2
Bangladesh,1997,123315288,Asia,59412,972.7700352,3.47
Bangladesh,2002,135656790,Asia,62013,1136.39043,2.91
Bangladesh,2007,150448339,Asia,64062,1391.253792,2.44
Belgium,1952,8730405,Europe,68,8343.105127,2.34
Belgium,1957,8989111,Europe,69.24,9714.960623,2.49
Belgium,1962,9218400,Europe,70.25,10991.20676,2.63
Belgium,1967,9556500,Europe,70.94,13149.04119,2.43
Belgium,1972,9709100,Europe,71.44,16672.14356,2.05
Belgium,1977,9821800,Europe,72.8,19117.97448,1.73
Belgium,1982,9856303,Europe,73.93,20979.84589,1.59
Belgium,1987,9870200,Europe,75.35,22525.56308,1.56
Belgium,1992,10045622,Europe,76.46,25575.57069,1.6
Belgium,1997,10199787,Europe,77.53,27561.19663,1.61
Belgium,2002,10311970,Europe,78.32,30485.88375,1.68
Belgium,2007,10392226,Europe,79441,33692.60508,1.8
Benin,1952,1738315,Africa,38223,1062.7522,5.83
Benin,1957,1925173,Africa,40358,959.6010805,6.11
Benin,1962,2151895,Africa,42618,949.4990641,6.39
Benin,1967,2427334,Africa,44885,1035.831411,6.63
Benin,1972,2761407,Africa,47014,1085.796879,6.82
Benin,1977,3168267,Africa,49.19,1029.161251,6.98
Benin,1982,3641603,Africa,50904,1277.897616,7.02
Benin,1987,4243788,Africa,52337,1225.85601,6.9
Benin,1992,4981671,Africa,53919,1191.207681,6.6
Benin,1997,6066080,Africa,54777,1232.975292,6.2
Benin,2002,7026113,Africa,54406,1372.877931,5.82
Benin,2007,8078314,Africa,56728,1441.284873,5.52
Bolivia,1952,2883315,Americas,40414,2677.326347,6.75
Bolivia,1957,3211738,Americas,41.89,2127.686326,6.75
Bolivia,1962,3593918,Americas,43428,2180.972546,6.65
Bolivia,1967,4040665,Americas,45032,2586.886053,6.59
Bolivia,1972,4565872,Americas,46714,2980.331339,6.5
Bolivia,1977,5079716,Americas,50023,3548.097832,5.9
Bolivia,1982,5642224,Americas,53859,3156.510452,5.34
Bolivia,1987,6156369,Americas,57251,2753.69149,5.03
Bolivia,1992,6893451,Americas,59957,2961.699694,4.81
Bolivia,1997,7693188,Americas,62.05,3326.143191,4.37
Bolivia,2002,8445134,Americas,63883,3413.26269,3.87
Bolivia,2007,9119152,Americas,65554,3822.137084,3.43
Bosnia and Herzegovina,1952,2791000,Europe,53.82,973.5331948,4.9
Bosnia and Herzegovina,1957,3076000,Europe,58.45,1353.989176,4.07
Bosnia and Herzegovina,1962,3349000,Europe,61.93,1709.683679,3.68
Bosnia and Herzegovina,1967,3585000,Europe,64.79,2172.352423,3.21
Bosnia and Herzegovina,1972,3819000,Europe,67.45,2860.16975,2.76
Bosnia and Herzegovina,1977,4086000,Europe,69.86,3528.481305,2.32
Bosnia and Herzegovina,1982,4172693,Europe,70.69,4126.613157,2.03
Bosnia and Herzegovina,1987,4338977,Europe,71.14,4314.114757,1.87
Bosnia and Herzegovina,1992,4256013,Europe,72178,2546.781445,1.73
Bosnia and Herzegovina,1997,3607000,Europe,73244,4766.355904,1.66
Bosnia and Herzegovina,2002,4165416,Europe,74.09,6018.975239,1.37
Bosnia and Herzegovina,2007,4552198,Europe,74852,7446.298803,1.29
Botswana,1952,442308,Africa,47622,851.2411407,6.49
Botswana,1957,474639,Africa,49618,918.2325349,6.57
Botswana,1962,512764,Africa,51.52,983.6539764,6.65
Botswana,1967,553541,Africa,53298,1214.709294,6.7
Botswana,1972,619351,Africa,56024,2263.611114,6.58
Botswana,1977,781472,Africa,59319,3214.857818,6.39
Botswana,1982,970347,Africa,61484,4551.14215,5.98
Botswana,1987,1151184,Africa,63622,6205.88385,5.04
Botswana,1992,1342614,Africa,62745,7954.111645,4.29
Botswana,1997,1536536,Africa,52556,8647.142313,3.72
Botswana,2002,1630347,Africa,46634,11003.60508,3.19
Botswana,2007,1639131,Africa,50728,12569.85177,2.92
Brazil,1952,56602560,Americas,50917,2108.944355,6.15
Brazil,1957,65551171,Americas,53285,2487.365989,6.18
Brazil,1962,76039390,Americas,55665,3336.585802,6.14
Brazil,1967,88049823,Americas,57632,3429.864357,5.49
Brazil,1972,100840058,Americas,59504,4985.711467,4.78
Brazil,1977,114313951,Americas,61489,6660.118654,4.34
Brazil,1982,128962939,Americas,63336,7030.835878,3.85
Brazil,1987,142938076,Americas,65205,7807.095818,3.17
Brazil,1992,155975974,Americas,67057,6950.283021,2.64
Brazil,1997,168546719,Americas,69388,7957.980824,2.46
Brazil,2002,179914212,Americas,71006,8131.212843,2.16
Brazil,2007,190010647,Americas,72.39,9065.800825,1.88
Bulgaria,1952,7274900,Europe,59.6,2444.286648,2.55
Bulgaria,1957,7651254,Europe,66.61,3008.670727,2.31
Bulgaria,1962,8012946,Europe,69.51,4254.337839,2.21
Bulgaria,1967,8310226,Europe,70.42,5577.0028,2.14
Bulgaria,1972,8576200,Europe,70.9,6597.494398,2.16
Bulgaria,1977,8797022,Europe,70.81,7612.240438,2.18
Bulgaria,1982,8892098,Europe,71.08,8224.191647,2.06
Bulgaria,1987,8971958,Europe,71.34,8239.854824,1.94
Bulgaria,1992,8658506,Europe,71.19,6302.623438,1.6
Bulgaria,1997,8066057,Europe,70.32,5970.38876,1.23
Bulgaria,2002,7661799,Europe,72.14,7696.777725,1.22
Bulgaria,2007,7322858,Europe,73005,10680.79282,1.42
Burkina Faso,1952,4469979,Africa,31975,543.2552413,6.09
Burkina Faso,1957,4713416,Africa,34906,617.1834648,6.23
Burkina Faso,1962,4919632,Africa,37814,722.5120206,6.34
Burkina Faso,1967,5127935,Africa,40697,794.8265597,6.53
Burkina Faso,1972,5433886,Africa,43591,854.7359763,6.7
Burkina Faso,1977,5889574,Africa,46137,743.3870368,6.98
Burkina Faso,1982,6634596,Africa,48122,807.1985855,7.17
Burkina Faso,1987,7586551,Africa,49557,912.0631417,7.09
Burkina Faso,1992,8878303,Africa,50.26,931.7527731,6.95
Burkina Faso,1997,10352843,Africa,50324,946.2949618,6.75
Burkina Faso,2002,12251209,Africa,50.65,1037.645221,6.47
Burkina Faso,2007,14326203,Africa,52295,1217.032994,6.12
Burundi,1952,2445618,Africa,39031,339.2964587,6.8
Burundi,1957,2667518,Africa,40533,379.5646281,6.85
Burundi,1962,2961915,Africa,42045,355.2032273,7.05
Burundi,1967,3330989,Africa,43548,412.9775136,7.25
Burundi,1972,3529983,Africa,44057,464.0995039,7.31
Burundi,1977,3834415,Africa,45.91,556.1032651,7.41
Burundi,1982,4580410,Africa,47471,559.603231,7.42
Burundi,1987,5126023,Africa,48211,621.8188189,7.53
Burundi,1992,5809236,Africa,44736,631.6998778,7.43
Burundi,1997,6121610,Africa,45326,463.1151478,7.18
Burundi,2002,7021078,Africa,47.36,446.4035126,6.89
Burundi,2007,8390505,Africa,49.58,430.0706916,6.53
Cambodia,1952,4693836,Asia,39417,368.4692856,6.95
Cambodia,1957,5322536,Asia,41366,434.0383364,6.96
Cambodia,1962,6083619,Asia,43415,496.9136476,6.96
Cambodia,1967,6960067,Asia,45415,523.4323142,6.75
Cambodia,1972,7450606,Asia,40317,421.6240257,6.18
Cambodia,1977,6978607,Asia,31.22,524.9721832,5.56
Cambodia,1982,7272485,Asia,50957,624.4754784,6.19
Cambodia,1987,8371791,Asia,53914,683.8955732,6.1
Cambodia,1992,10150094,Asia,55803,682.3031755,5.24
Cambodia,1997,11782962,Asia,56534,734.28517,4.33
Cambodia,2002,12926707,Asia,56752,896.2260153,3.52
Cambodia,2007,14131858,Asia,59723,1713.778686,3.09
Cameroon,1952,5009067,Africa,38523,1172.667655,5.49
Cameroon,1957,5359923,Africa,40428,1313.048099,5.51
Cameroon,1962,5793633,Africa,42643,1399.607441,5.77
Cameroon,1967,6335506,Africa,44799,1508.453148,6.06
Cameroon,1972,7021028,Africa,47049,1684.146528,6.29
Cameroon,1977,7959865,Africa,49355,1783.432873,6.49
Cameroon,1982,9250831,Africa,52961,2367.983282,6.69
Cameroon,1987,10780667,Africa,54985,2602.664206,6.63
Cameroon,1992,12467171,Africa,54314,1793.163278,6.26
Cameroon,1997,14195809,Africa,52199,1694.337469,5.8
Cameroon,2002,15929988,Africa,49856,1934.011449,5.48
Cameroon,2007,17696293,Africa,50.43,2042.09524,5.27
Canada,1952,14785584,Americas,68.75,11367.16112,3.61
Canada,1957,17010154,Americas,69.96,12489.95006,3.91
Canada,1962,18985849,Americas,71.3,13462.48555,3.7
Canada,1967,20819767,Americas,72.13,16076.58803,2.75
Canada,1972,22284500,Americas,72.88,18970.57086,2.01
Canada,1977,23796400,Americas,74.21,22090.88306,1.74
Canada,1982,25201900,Americas,75.76,22898.79214,1.63
Canada,1987,26549700,Americas,76.86,26626.51503,1.62
Canada,1992,28523502,Americas,77.95,26342.88426,1.68
Canada,1997,30305843,Americas,78.61,28954.92589,1.58
Canada,2002,31902268,Americas,79.77,33328.96507,1.52
Canada,2007,33390141,Americas,80653,36319.23501,1.62
Central African Republic,1952,1291695,Africa,35463,1071.310713,5.49
Central African Republic,1957,1392284,Africa,37464,1190.844328,5.73
Central African Republic,1962,1523478,Africa,39475,1193.068753,5.89
Central African Republic,1967,1733638,Africa,41478,1136.056615,5.95
Central African Republic,1972,1927260,Africa,43457,1070.013275,5.95
Central African Republic,1977,2167533,Africa,46775,1109.374338,5.95
Central African Republic,1982,2476971,Africa,48295,956.7529907,5.96
Central African Republic,1987,2840009,Africa,50485,844.8763504,5.91
Central African Republic,1992,3265124,Africa,49396,747.9055252,5.73
Central African Republic,1997,3696513,Africa,46066,740.5063317,5.56
Central African Republic,2002,4048013,Africa,43308,738.6906068,5.46
Central African Republic,2007,4369038,Africa,44741,706.016537,5.32
Chad,1952,2682462,Africa,38092,1178.665927,6.09
Chad,1957,2894855,Africa,39881,1308.495577,6.19
Chad,1962,3150417,Africa,41716,1389.817618,6.29
Chad,1967,3495967,Africa,43601,1196.810565,6.39
Chad,1972,3899068,Africa,45569,1104.103987,6.64
Chad,1977,4388260,Africa,47383,1133.98495,6.86
Chad,1982,4875118,Africa,49517,797.9081006,7.02
Chad,1987,5498955,Africa,51051,952.386129,7.2
Chad,1992,6429417,Africa,51724,1058.0643,7.38
Chad,1997,7562011,Africa,51573,1004.961353,7.42
Chad,2002,8835739,Africa,50525,1156.18186,7.27
Chad,2007,10238807,Africa,50651,1704.063724,6.9
Chile,1952,6377619,Americas,54745,3939.978789,5.02
Chile,1957,7048426,Americas,56074,4315.622723,5.24
Chile,1962,7961258,Americas,57924,4519.094331,5
Chile,1967,8858908,Americas,60523,5106.654313,4.5
Chile,1972,9717524,Americas,63441,5494.024437,3.67
Chile,1977,10599793,Americas,67052,4756.763836,2.99
Chile,1982,11487112,Americas,70565,5095.665738,2.71
Chile,1987,12463354,Americas,72492,5547.063754,2.64
Chile,1992,13572994,Americas,74126,7596.125964,2.46
Chile,1997,14599929,Americas,75816,10118.05318,2.23
Chile,2002,15497046,Americas,77.86,10778.78385,2.05
Chile,2007,16284741,Americas,78553,13171.63885,1.95
China,1952,556263528.0,Asia,44,400.4486107,5.97
China,1957,637408000,Asia,50.54896,575.9870009,6.21
China,1962,665770000,Asia,44.50136,487.6740183,5.97
China,1967,754550000,Asia,58.38112,612.7056934,5.25
China,1972,862030000,Asia,63.11888,676.9000921,4.92
China,1977,943455000,Asia,63.96736,741.2374699,2.87
China,1982,1000281000,Asia,65525,962.4213805,2.58
China,1987,1084035000,Asia,67274,1378.904018,2.65
China,1992,1164970000,Asia,68.69,1655.784158,2.02
China,1997,1230075000,Asia,70426,2289.234136,1.53
China,2002,1280400000,Asia,72028,3119.280896,1.52
China,2007,1318683096,Asia,72961,4959.114854,1.58
Colombia,1952,12350771,Americas,50643,2144.115096,6.76
Colombia,1957,14485993,Americas,55118,2323.805581,6.78
Colombia,1962,17009885,Americas,57863,2492.351109,6.78
Colombia,1967,19764027,Americas,59963,2678.729839,6.25
Colombia,1972,22542890,Americas,61623,3264.660041,5.07
Colombia,1977,25094412,Americas,63837,3815.80787,4.28
Colombia,1982,27764644,Americas,66653,4397.575659,3.74
Colombia,1987,30964245,Americas,67768,4903.2191,3.23
Colombia,1992,34202721,Americas,68421,5444.648617,2.86
Colombia,1997,37657830,Americas,70313,6117.361746,2.54
Colombia,2002,41008227,Americas,71682,5755.259962,2.31
Colombia,2007,44227550,Americas,72889,7006.580419,2.12
Comoros,1952,153936,Africa,40715,1102.990936,5.93
Comoros,1957,170928,Africa,42.46,1211.148548,6.56
Comoros,1962,191689,Africa,44467,1406.648278,6.9
Comoros,1967,217378,Africa,46472,1876.029643,7.04
Comoros,1972,250027,Africa,48944,1937.577675,7.06
Comoros,1977,304739,Africa,50939,1172.603047,7.08
Comoros,1982,348643,Africa,52933,1267.100083,7.03
Comoros,1987,395114,Africa,54926,1315.980812,6.14
Comoros,1992,454429,Africa,57939,1246.90737,5.36
Comoros,1997,527982,Africa,60.66,1173.618235,5.27
Comoros,2002,614382,Africa,62974,1075.811558,5.3
Comoros,2007,710960,Africa,65152,986.1478792,5.11
Rep.Congo,1952,854885,Africa,42111,2125.621418,5.68
Rep.Congo,1957,940458,Africa,45053,2315.056572,5.77
Rep.Congo,1962,1047924,Africa,48435,2464.783157,5.97
Rep.Congo,1967,1179760,Africa,52.04,2677.939642,6.18
Rep.Congo,1972,1340458,Africa,54907,3213.152683,6.35
Rep.Congo,1977,1536769,Africa,55625,3259.178978,6.36
Rep.Congo,1982,1774735,Africa,56695,4879.507522,6.05
Rep.Congo,1987,2064095,Africa,57.47,4201.194937,5.59
Rep.Congo,1992,2409073,Africa,56433,4016.239529,5.24
Rep.Congo,1997,2800947,Africa,52962,3484.164376,5.12
Rep.Congo,2002,3328795,Africa,52.97,3484.06197,5.08
Rep.Congo,2007,3800610,Africa,55322,3632.557798,5.01
Costa Rica,1952,926317,Americas,57206,2627.009471,6.25
Costa Rica,1957,1112300,Americas,60026,2990.010802,6.54
Costa Rica,1962,1345187,Americas,62842,3460.937025,6.32
Costa Rica,1967,1588717,Americas,65424,4161.727834,5.38
Costa Rica,1972,1834796,Americas,67849,5118.146939,4.19
Costa Rica,1977,2108457,Americas,70.75,5926.876967,3.7
Costa Rica,1982,2424367,Americas,73.45,5262.734751,3.52
Costa Rica,1987,2799811,Americas,74752,5629.915318,3.33
Costa Rica,1992,3173216,Americas,75713,6160.416317,3.04
Costa Rica,1997,3518107,Americas,77.26,6677.045314,2.65
Costa Rica,2002,3834934,Americas,78123,7723.447195,2.22
Costa Rica,2007,4133884,Americas,78782,9645.06142,2.01
Cote d'Ivoire,1952,2977019,Africa,40477,1388.594732,6.74
Cote d'Ivoire,1957,3300000,Africa,42469,1500.895925,7.12
Cote d'Ivoire,1962,3832408,Africa,44.93,1728.869428,7.51
Cote d'Ivoire,1967,4744870,Africa,47.35,2052.050473,7.82
Cote d'Ivoire,1972,6071696,Africa,49801,2378.201111,7.94
Cote d'Ivoire,1977,7459574,Africa,52374,2517.736547,7.83
Cote d'Ivoire,1982,9025951,Africa,53983,2602.710169,7.38
Cote d'Ivoire,1987,10761098,Africa,54655,2156.956069,6.82
Cote d'Ivoire,1992,12772596,Africa,52044,1648.073791,6.3
Cote d'Ivoire,1997,14625967,Africa,47991,1786.265407,5.92
Cote d'Ivoire,2002,16252726,Africa,46832,1648.800823,5.58
Cote d'Ivoire,2007,18013409,Africa,48328,1544.750112,5.34
Croatia,1952,3882229,Europe,61.21,3119.23652,2.8
Croatia,1957,3991242,Europe,64.77,4338.231617,2.45
Croatia,1962,4076557,Europe,67.13,5477.890018,2.27
Croatia,1967,4174366,Europe,68.5,6960.297861,2.1
Croatia,1972,4225310,Europe,69.61,9164.090127,1.98
Croatia,1977,4318673,Europe,70.64,11305.38517,2.01
Croatia,1982,4413368,Europe,70.46,13221.82184,1.98
Croatia,1987,4484310,Europe,71.52,13822.58394,1.84
Croatia,1992,4494013,Europe,72527,8447.794873,1.57
Croatia,1997,4444595,Europe,73.68,9875.604515,1.51
Croatia,2002,4481020,Europe,74876,11628.38895,1.39
Croatia,2007,4493312,Europe,75748,14619.22272,1.41
Cuba,1952,6007797,Americas,59421,5586.53878,4.22
Cuba,1957,6640752,Americas,62325,6092.174359,3.72
Cuba,1962,7254373,Americas,65246,5180.75591,4.51
Cuba,1967,8139332,Americas,68.29,5690.268015,4.43
Cuba,1972,8831348,Americas,70723,5305.445256,3.65
Cuba,1977,9537988,Americas,72649,6380.494966,2.33
Cuba,1982,9789224,Americas,73717,7316.918107,1.83
Cuba,1987,10239839,Americas,74174,7532.924763,1.83
Cuba,1992,10723260,Americas,74414,5592.843963,1.68
Cuba,1997,10983007,Americas,76151,5431.990415,1.63
Cuba,2002,11226999,Americas,77158,6340.646683,1.59
Cuba,2007,11416987,Americas,78273,8948.102923,1.58
Czech Republic,1952,9125183,Europe,66.87,6876.14025,2.75
Czech Republic,1957,9513758,Europe,69.03,8256.343918,2.41
Czech Republic,1962,9620282,Europe,69.9,10136.86713,2.2
Czech Republic,1967,9835109,Europe,70.38,11399.44489,1.99
Czech Republic,1972,9862158,Europe,70.29,13108.4536,2.18
Czech Republic,1977,10161915,Europe,70.71,14800.16062,2.34
Czech Republic,1982,10303704,Europe,70.96,15377.22855,2.04
Czech Republic,1987,10311597,Europe,71.58,16310.4434,1.9
Czech Republic,1992,10315702,Europe,72.4,14297.02122,1.66
Czech Republic,1997,10300707,Europe,74.01,16048.51424,1.22
Czech Republic,2002,10256295,Europe,75.51,17596.21022,1.17
Czech Republic,2007,10228744,Europe,76486,22833.30851,1.39
Denmark,1952,4334000,Europe,70.78,9692.385245,2.54
Denmark,1957,4487831,Europe,71.81,11099.65935,2.56
Denmark,1962,4646899,Europe,72.35,13583.31351,2.54
Denmark,1967,4838800,Europe,72.96,15937.21123,2.35
Denmark,1972,4991596,Europe,73.47,18866.20721,2.03
Denmark,1977,5088419,Europe,74.69,20422.9015,1.66
Denmark,1982,5117810,Europe,74.63,21688.04048,1.43
Denmark,1987,5127024,Europe,74.8,25116.17581,1.5
Denmark,1992,5171393,Europe,75.33,26406.73985,1.76
Denmark,1997,5283663,Europe,76.11,29804.34567,1.75
Denmark,2002,5374693,Europe,77.18,32166.50006,1.72
Denmark,2007,5468120,Europe,78332,35278.41874,1.85
Djibouti,1952,63149,Africa,34812,2669.529475,6.31
Djibouti,1957,71851,Africa,37328,2864.969076,6.38
Djibouti,1962,89898,Africa,39693,3020.989263,6.53
